text_a,text_b,score
组队,思念,0.16
孤寂,小暑,0.12
谭维维,杨千嬅,0.79
秋分,春分,0.65
听写,摄梦人,0.22
代数,代数,0.99
蜡笔小新,小葱拌豆腐,0.16
合成,柳宗元,0.12
点头,动物,0.1
停下,孔子,0.18
起身,一拳超人,0.18
罗小黑战记,冰川,0.26
编钟,庄子,0.09
张杰,毛不易,0.82
通话,咖喱,0.16
李荣浩,刘德华,0.88
毛不易,王力宏,0.8
红移,红移,0.99
小幸运,晴天,0.81
朗读,弓步,0.26
讨论,担忧,0.27
火箭,通风,0.27
月食,日食,0.8
掉落,韩信,0.2
热切,下线,0.21
拍手,拍手,0.99
手柄,兴奋,0.09
读书,猪八戒照镜,0.19
刑天,守夜人,0.17
盘腿,烛龙,0.13
酸奶,组队,0.1
虹猫蓝兔,郑和,0.21
迷茫,小暑,0.23
张学友,毛不易,0.86
材料,滑行,0.14
白狼,死神,0.27
镇魂街,银魂,0.52
烧烤,潜伏,0.16
杨千嬅,毛不易,0.79
订房,洗衣,0.09
昆曲,哆啦A梦,0.2
夜曲,过图,0.25
欣喜,八面玲珑,0.23
郁闷,烦闷,0.79
幽游白书,鬼灭之刃,0.46
护理,水星,0.14
银河,烦躁,0.24
银河,汇总,0.23
琴棋,悬梁刺股,0.09
社会,停下,0.15
起床,踢踏,0.18
孙燕姿,那英,0.85
铃芽之旅,万圣节,0.18
走位,疑惑,0.12
猎魔人,望远镜,0.27
张杰,周杰伦,0.82
暗能量,班固,0.22
考试,翻滚,0.21
十年,起风了,0.63
翻译,里程碑,0.21
屈原,转身,0.27
超新星,酸奶,0.27
盘腿,瀑布,0.17
周杰伦,李荣浩,0.84
梁静茹,林俊杰,0.9
托运,调休,0.14
取件,晚霞,0.2
起风了,后来我们,0.87
评弹,刻舟求剑,0.21
擀面杖吹火,交付,0.17
计算,一箭双雕,0.11
排位,夏至,0.11
奶茶,背水一战,0.26
数码宝贝,刀剑神域,0.57
地球,一拳超人,0.23
白居易,神农,0.24
计算,石桥,0.14
悬崖,烛龙,0.25
泡汤,搬家,0.09
狼人,云雾,0.15
通风,推挡,0.19
魔女宅急便,邮轮,0.26
李荣浩,李荣浩,0.99
丢垃圾,林间,0.11
日出,刻舟求剑,0.12
星游记,溪流,0.26
银魂,王安石,0.18
逛馆,逛馆,0.99
张学友,周深,0.56
古城,银河,0.13
王力宏,周深,0.85
讲解,狼美人,0.15
李荣浩,张杰,0.9
陈奕迅,周杰伦,0.89
西王母,圣斗士,0.21
星座,星座,0.99
星云,控蓝,0.24
守株待兔,拍手,0.27
张杰,谭维维,0.92
篆书,取件,0.13
排位,狐妖小红娘,0.1
寒露,霜降,0.53
洗漱,孤寂,0.16
心酸,秧歌,0.16
地质,纪念品,0.19
香道,草原,0.25
大雪,碑刻,0.12
周深,张信哲,0.8
吹笛者,引力,0.21
心猿意马,园艺,0.23
秋分,处暑,0.55
墙头草,租房,0.11
紧张,忐忑,0.88
酆都,酆都,0.99
起床,陶瓷,0.17
坐船,俯身,0.1
做饭,调休,0.17
测验,催办,0.09
相柳,答辩,0.09
八面玲珑,盗贼,0.21
蚩尤,国画,0.16
奔跑,立夏,0.14
孙燕姿,张杰,0.9
图穷匕见,勇气,0.26
庙会,邮轮,0.25
霜降,狼人,0.13
登顶,后羿,0.28
那英,潜狼,0.27
那英,邓紫棋,0.52
晾晒,玄女,0.11
火锅,冲茶,0.09
芒种,芒种,0.99
谭维维,王菲,0.54
蔡依林,周杰伦,0.81
存档,彗星,0.16
共工,做题,0.22
露营,陨石,0.18
祝融,激昂,0.09
看夜景,看夜景,0.99
八面玲珑,烧烤,0.19
背水一战,推挡,0.26
犬夜叉,奶茶,0.08
牧场,牧场,0.99
巫师,退避三舍,0.24
忐忑,墙头草,0.13
香道,俯冲,0.16
上网,卫星,0.09
不良人,龙珠,0.49
望梅止渴,依恋,0.09
预言家,红移,0.27
挥拳,写论文,0.21
植物,盲人摸象,0.09
国画,国画,0.99
控蓝,控蓝,0.99
刘德华,张杰,0.9
奶茶,青龙,0.19
生态,庙会,0.17
登顶,小满,0.28
张衡,通风,0.09
伸手,惋惜,0.09
立春,林俊杰,0.26
杜甫,青花瓷,0.28
灵笼,落座,0.1
暴击,三明治,0.09
张信哲,王力宏,0.91
雪峰,握拳,0.11
抬头,刷牙,0.26
蹲下,蹲下,0.99
麻雀虽小,花木兰,0.19
刘德华,王菲,0.91
玄女,医学,0.22
跟踪,草甸,0.17
自相矛盾,兔子尾巴,0.14
烤鱼,单刀赴会,0.27
庙会,守护神,0.1
熊,拉怪,0.09
惬意,网球王子,0.13
毛不易,那英,0.82
邮轮,批改,0.21
激昂,激昂,0.99
小年,听写,0.12
运动,告白气球,0.12
郑和,请假,0.24
周杰伦,刘德华,0.82
守株待兔,狼王,0.26
合成,合成,0.99
周深,张杰,0.8
妖精尾巴,数码宝贝,0.88
安检,狼美人,0.27
激动,共工,0.12
高山流水,转身,0.21
张杰,梁静茹,0.91
需求,化学,0.13
冰川,守墓人,0.15
后来,晴天,0.87
园艺,园艺,0.99
张杰,杨千嬅,0.8
陨石,生态,0.12
龙猫,相声,0.11
单刀赴会,魔术师,0.2
网购,纸上谈兵,0.16
晚睡,铁杵磨针,0.17
土星,秧歌,0.15
释怀,交付,0.18
面条,银魂,0.27
卡关,秃子头上,0.11
震惊,摇头,0.21
失落,守株待兔,0.17
落地,落地,0.99
孙燕姿,杨千嬅,0.84
起身,查阅,0.18
圣斗士,通话,0.19
林俊杰,蔡依林,0.91
漆器,早起,0.14
生态,麻辣烫,0.15
林黛玉,画饼充饥,0.14
蛋挞,翻译,0.22
狼王,霜降,0.09
张学友,王菲,0.9
蜡笔小新,樱桃小丸子,0.91
薛之谦,杨千嬅,0.88
培训,培训,0.99
晾晒,晒衣,0.84
黔驴技穷,做笔记,0.23
疲惫,测验,0.2
约法三章,星云,0.08
体面,梁静茹,0.09
孔子,觅食,0.13
恒星,恒星,0.99
排球少年,白狼王,0.11
酸奶,苏轼,0.21
首领,失落,0.09
震惊,四面楚歌,0.1
海贼王,星游记,0.65
护肤,实验,0.26
喜羊羊,地理,0.1
愤懑,赶鸭子上架,0.22
刷本,刷本,0.99
策略,值机,0.18
收拾,悬崖,0.12
生物,做题,0.27
花木兰,审核,0.21
陈奕迅,邓紫棋,0.9
卧冰求鲤,踢踏,0.2
听写,淡定,0.15
书法,上线,0.25
画地为牢,工程,0.12
雨水,狼人,0.27
百发百中,挤压,0.12
香道,大暑,0.09
刘德华,薛之谦,0.87
退避三舍,火影,0.18
张学友,刘德华,0.83
失落,投笔从戎,0.11
村民,汇报,0.12
伏羲,伏羲,0.99
新手,摘记,0.11
化学,通灵师,0.22
翻译,肉夹馍,0.27
程门立雪,馄饨,0.12
老马识途,交付,0.23
晚霞,酸辣粉,0.17
酆都,真空,0.18
赶鸭子上架,取件,0.19
奔跑,奔跑,0.99
羞涩,彗星,0.16
梁静茹,张信哲,0.83
新手,新手,0.99
蔡依林,林俊杰,0.78
邓紫棋,王力宏,0.83
心猿意马,你的名字,0.17
杯水车薪,忐忑,0.19
谭维维,梁静茹,0.83
皮肤,熊,0.2
花木兰,翻滚,0.09
失望,拉怪,0.17
平静,调休,0.2
机械狼,机械狼,0.99
老鼠过街,租房,0.11
猎人,做笔记,0.13
网购,轻松,0.14
朗读,天体,0.22
气候,守口如瓶,0.12
值班,破釜沉舟,0.21
祭司,寒露,0.25
千与千寻,金星,0.19
卫星,守护神,0.27
沙盒,画地为牢,0.21
鲲鹏,公会,0.17
卫星,喜羊羊,0.14
陨石,居安思危,0.08
后来我们,后来,0.85
完璧归赵,完璧归赵,0.99
自检,坦诚,0.18
请假,罗小黑战记,0.18
魔女宅急便,社会,0.15
医学,国庆,0.24
兴奋,凿壁借光,0.25
那英,薛之谦,0.84
起风了,杜甫,0.17
玄鸟,阅读,0.28
庄子,弹跳,0.18
祖冲之,圣斗士,0.09
山脊,言叶之庭,0.2
楹联,端午,0.26
蔡依林,草船借箭,0.24
陈奕迅,张学友,0.88
哲学,火星,0.28
心理,银魂,0.15
陨石,老虎头上,0.22
空间站,瞎子点灯,0.08
演示,跟踪,0.09
趁热打铁,饺子,0.11
释怀,草船借箭,0.09
张杰,小满,0.19
张信哲,孙燕姿,0.87
塔防,评书,0.23
孔子,麻花,0.25
粽子,弹跳,0.09
沙盒,腾挪,0.25
迷茫,晚霞,0.21
需求,湖畔,0.08
委屈,粥品,0.28
愧疚,跟进,0.24
嫦娥,七夕,0.24
悬梁刺股,悬梁刺股,0.99
蚩尤,烤鱼,0.22
弓步,羞怯,0.16
铁杵磨针,铁杵磨针,0.99
谭维维,张杰,0.81
周深,王力宏,0.85
和尚打伞,大公无私,0.09
肉夹馍,露台,0.19
薛之谦,刘德华,0.87
驯熊师,晒衣,0.24
闻鸡起舞,东京喰种,0.18
镇魂街,粽子,0.22
汇报,楹联,0.18
木偶,持之以恒,0.22
张学友,李荣浩,0.87
杯弓蛇影,朱雀,0.23
哪吒,小幸运,0.19
馄饨,光年,0.17
教育,指鹿为马,0.23
坐船,郁闷,0.16
林俊杰,负薪读书,0.2
一拳超人,背包,0.09
昆曲,小暑,0.22
晒衣,探图,0.12
月食,雨水,0.13
京剧,攻略,0.2
孔子,泥塑,0.16
考试,黑执事,0.12
老虎头上,心疼,0.25
释怀,摇头,0.13
杨千嬅,林俊杰,0.8
震撼,擀面杖吹火,0.21
踮脚,劳动节,0.26
孙燕姿,毛不易,0.85
三明治,狐妖小红娘,0.19
疲惫,持之以恒,0.25
悬梁刺股,平凡之路,0.26
石桥,工程,0.08
张学友,周杰伦,0.85
悬崖,小笼包,0.17
暗物质,挥手,0.21
转机,张良,0.18
签证,你的名字,0.14
考古,杨戬,0.2
持之以恒,心理,0.1
李荣浩,孙燕姿,0.82
坦诚,老虎头上,0.17
压抑,翻译,0.22
孙悟空,真挚,0.13
副本,招聘,0.22
一鸣惊人,立冬,0.16
点头,应龙,0.2
美术,狼狈为奸,0.27
云海,邓紫棋,0.2
文学,小年,0.09
丢垃圾,植物,0.18
气象,气象,0.99
邮轮,邮轮,0.99
寿司,万圣节,0.21
王力宏,孙燕姿,0.86
螺蛳粉,河伯,0.15
苦闷,压抑,0.79
张杰,李荣浩,0.84
礁石,七夕,0.26
杜甫,地球,0.1
趁热打铁,巫师,0.19
斗罗大陆,下线,0.1
压抑,晚睡,0.09
满足,代数,0.27
民宿,篆书,0.1
掉落,轨道,0.11
张杰,熊,0.18
禁言长老,农学,0.24
刻舟求剑,周深,0.17
孙燕姿,王力宏,0.86
禁锢者,兴奋,0.26
跳跃,年画,0.15
元宵,皮肤,0.17
排期,天气之子,0.12
羞怯,羞怯,0.99
油菜花,舞狮,0.26
风之谷,风之谷,0.99
庄子,庄子,0.99
对牛弹琴,开心,0.19
晒衣,晒衣,0.99
青花瓷,生物,0.13
山脊,欣赏,0.16
社火,紧张,0.13
完璧归赵,激昂,0.21
海阔天空,星游记,0.56
卫星,鬼灭之刃,0.28
镇魂街,默写,0.28
那英,陈奕迅,0.91
梦魇,退避三舍,0.17
小雪,茶园,0.16
元宵,签证,0.27
天体,寿司,0.17
烦闷,月饼,0.24
讲解,刺绣,0.19
旋转,花田,0.16
悬崖,龙猫,0.27
隐狼,逻辑,0.2
麻花,俯身,0.27
周杰伦,林俊杰,0.88
蔡依林,薛之谦,0.78
开心,开心,0.99
小满,馄饨,0.27
陈奕迅,刘德华,0.8
约法三章,麻花,0.27
处暑,蒲松龄,0.19
单机,复习,0.21
舞狮,惊喜,0.1
感动,白狼王,0.28
材料,山谷,0.1
唇亡齿寒,副本,0.09
热切,托运,0.27
龙舟,礁石,0.18
写作,玄鸟,0.15
王勃,皮雕,0.21
后来,匆匆那年,0.81
李荣浩,周杰伦,0.86
林俊杰,邓紫棋,0.81
敬佩,讨论,0.22
皮雕,踢踏,0.19
听写,听写,0.99
盘瓠,死神,0.1
小葱拌豆腐,秧歌,0.13
唇亡齿寒,匹配,0.16
刘德华,谭维维,0.49
首领,汉堡,0.15
孙燕姿,蔡依林,0.85
腊八,背水一战,0.16
刘德华,毛不易,0.88
苦闷,八仙过海,0.19
孙燕姿,处暑,0.27
画饼充饥,龙舟,0.18
梁静茹,周杰伦,0.84
谭维维,周深,0.91
处暑,立秋,0.79
肉夹馍,伸展,0.19
做实验,诸葛亮,0.16
张良,小溪,0.11
逻辑,逻辑,0.99
自豪,自相矛盾,0.28
盗贼,观光,0.19
经济,凿壁借光,0.18
张学友,许嵩,0.62
熬夜,背诵,0.08
杨千嬅,蔡依林,0.8
刘德华,杨千嬅,0.79
邓紫棋,张学友,0.63
石雕,石雕,0.99
摘记,淡定,0.23
晴天,小幸运,0.82
梁静茹,王力宏,0.83
转机,洗衣,0.19
竹编,蜡笔小新,0.2
樱花,取件,0.26
疲惫,星游记,0.11
编钟,追剧,0.14
漫步,王力宏,0.23
敬佩,面条,0.1
邓紫棋,烛龙,0.12
白蛇缘起,销假,0.18
最美的期待,告白,0.91
搬家,过图,0.11
犬夜叉,犬夜叉,0.99
体面,盘腿,0.1
过图,春分,0.09
坦诚,拍照,0.17
李荣浩,陈奕迅,0.86
猫哭耗子,数码宝贝,0.27
温柔,惊讶,0.08
愧疚,愧疚,0.99
秧歌,鲁迅,0.26
告白,峡谷,0.13
理解,村民,0.12
潜狼,调休,0.2
出境,幽游白书,0.12
闯关,汇报,0.26
陈奕迅,陈奕迅,0.99
王菲,杨千嬅,0.85
小暑,立夏,0.86
那英,周杰伦,0.8
张杰,陈奕迅,0.79
秧歌,井底青蛙,0.12
预读,欣赏,0.25
蹒跚,温柔,0.22
混血儿,悲伤,0.09
法学,饕餮,0.15
舞狮,刑天,0.21
孙悟空,弯腰,0.26
薛之谦,那英,0.81
茶壶里煮饺,相柳,0.19
白露,烧烤,0.17
修灯,摄梦人,0.25
万圣节,山谷,0.18
理发,对齐,0.18
游戏王,游戏王,0.99
周深,碑刻,0.13
辛弃疾,瞎子摸象,0.13
李荣浩,杨千嬅,0.84
白居易,酸奶,0.08
罗小黑战记,龙猫,0.58
记忆,记忆,0.99
惊讶,感恩,0.25
狼人,竹竿进城,0.26
小葱拌豆腐,臭豆腐,0.18
上网,周深,0.09
订房,收拾,0.12
模拟,排球少年,0.19
喜羊羊,蜡笔小新,0.46
馒头,馒头,0.99
辛弃疾,红移,0.27
排期,灵笼,0.17
秦始皇,无奈,0.2
打扫,画龙点睛,0.27
值机,调休,0.26
昆曲,圣斗士,0.09
腊八,日报,0.13
先知,李荣浩,0.2
租车,女娲,0.14
居安思危,弯腰,0.27
抄写,月食,0.17
滥竽充数,蚩尤,0.12
泡汤,疑惑,0.18
程门立雪,泡汤,0.26
凿壁借光,守墓人,0.2
持之以恒,小年,0.14
侧步,大禹,0.26
腾挪,物理,0.24
国庆,溪流,0.1
晚睡,晚睡,0.99
犬夜叉,退避三舍,0.27
看海,惆怅,0.15
对齐,鲛人,0.08
进击的巨人,稻田,0.2
预读,招聘,0.22
张信哲,周深,0.83
冬至,冬至,0.99
惊恐,灵笼,0.08
复盘,代数,0.08
女娲,隐狼,0.2
峡谷,鬼灭之刃,0.28
花鼓,上网,0.27
惊蛰,灵笼,0.25
追剧,丹霞,0.19
居安思危,物理,0.1
交接,交接,0.99
立夏,夏至,0.82
实验,跳跃,0.14
旋转,屈原,0.25
刘德华,孙燕姿,0.87
言叶之庭,春节,0.24
依恋,纸鸢,0.23
圣诞,望远镜,0.22
做作业,村民,0.17
海岸,早起,0.23
培训,转身,0.12
朗读,年画,0.28
退避三舍,拓印,0.22
蔡依林,张学友,0.92
木星,上网,0.18
管理,上课,0.25
真挚,自驾,0.15
解答,紧张,0.23
卡关,韩愈,0.09
纸上谈兵,罗小黑战记,0.23
狼人,离职,0.21
刘德华,李荣浩,0.79
山脊,滥竽充数,0.14
出境,俯冲,0.25
测验,名侦探柯南,0.18
写作,林间,0.2
俯身,命运之夜,0.25
过图,做题,0.18
挟天子,看夜景,0.09
加班,加班,0.99
理发,刻舟求剑,0.25
引力,审核,0.15
刘德华,张学友,0.83
预读,美术,0.12
薛之谦,陈奕迅,0.85
舞狮,舞狮,0.99
政治,管理,0.55
惋惜,猎魔人,0.12
存档,程门立雪,0.24
阅读,不良人,0.17
羞愧,一字千金,0.2
摘记,鬼灭之刃,0.1
暗能量,白居易,0.1
期待,期待,0.99
免税,猎魔人,0.08
进击的巨人,预读,0.17
材料,茶道,0.28
匆匆那年,小幸运,0.86
薛之谦,王力宏,0.92
妖精尾巴,秋分,0.22
模拟,思念,0.27
破釜沉舟,破釜沉舟,0.99
那英,恒星,0.11
交接,释然,0.19
告白,老虎头上,0.13
韩愈,柳宗元,0.52
古镇,园艺,0.14
血月使者,血月使者,0.99
欣喜,愉快,0.61
十年,点头,0.15
图穷匕见,张信哲,0.15
船到桥头,匹配,0.25
听课,嫦娥,0.15
旋转,迷茫,0.21
文天祥,恒星,0.26
平静,井底青蛙,0.2
孔子,卡关,0.28
雪中送炭,铁公鸡,0.12
冲茶,抬头,0.24
催办,全职猎人,0.09
取件,蹒跚,0.16
赶车,图穷匕见,0.2
蚩尤,装修,0.17
心酸,政治,0.12
草甸,天王星,0.18
一人之下,演示,0.25
夏目友人帐,轨道,0.14
西王母,教育,0.26
倒挂,同舟共济,0.16
三令五申,丘比特,0.08
孙燕姿,羡慕,0.2
魔术师,游戏王,0.15
惋惜,酸奶,0.23
过图,剪纸,0.23
合成,坦诚,0.21
材料,疲惫,0.14
李荣浩,蔡依林,0.8
刘德华,刘德华,0.99
樱桃小丸子,同舟共济,0.08
那英,讲解,0.23
老鼠过街,三令五申,0.21
协同,协同,0.99
禁锢者,银魂,0.21
谭维维,霜降,0.13
告白气球,后来,0.58
麒麟,竹海,0.23
做梦,请假,0.13
空间站,担忧,0.22
韩信,瞎子摸象,0.14
