text_a,text_b,score
刻舟求剑,天体,0.65
催办,投标,0.94
教育,后退,0.23
苏轼,诸葛亮,0.93
走位,大雪,0.29
灌篮高手,灌篮高手,0.95
张信哲,孙燕姿,0.88
瞎子点灯,联机,0.23
大禹,青龙,0.87
体面,豆花,0.14
刘德华,催办,0.28
邓紫棋,租房,0.6
馄饨,轻松,0.17
司马光,预习,0.61
端午,网球王子,0.61
羡慕,踮脚,0.19
翻滚,伸手,0.81
满足,抬手,0.06
夔牛,哆啦A梦,0.27
赶车,徒步,0.89
代数,植物,0.94
委屈,敬佩,0.42
预习,清明,0.26
战绩,打野,0.84
潜狼,梦魇,0.85
离职,自检,0.82
恒星,八仙过海,0.45
王力宏,林俊杰,0.81
冷漠,林俊杰,0.5
默写,复活,0.57
山脊,班固,0.17
泡芙,煎饼,0.81
嫦娥,禁锢者,0.23
全职高手,羞怯,0.25
皮影,舞狮,0.82
自豪,懊悔,0.91
批改,理解,0.81
打扫,超新星,0.08
悲伤,无聊,0.85
淋浴,做饭,0.88
俯身,摇头,0.81
饺子,饺子,0.95
海贼王,海贼王,0.95
山脊,冰川,0.93
行星,外星人,0.95
解谜,炸鸡,0.42
对齐,月饼,0.51
四面楚歌,负荆请罪,0.92
花海,海岸,0.81
释然,糖葫芦,0.28
守护神,熊,0.89
全职猎人,淡定,0.24
瓜田李下,顺水推舟,0.14
守口如瓶,狼狈为奸,0.87
百发百中,一箭双雕,0.93
水中捞月,井底之蛙,0.89
奔跑,搬家,0.4
逛馆,攻略,0.82
火锅,火锅,0.95
投笔从戎,翻滚,0.25
答辩,听写,0.89
火影,火影,0.95
青花瓷,暗能量,0.59
泡芙,甜品,0.8
解谜,懊悔,0.29
鞠躬,自相矛盾,0.19
勇气,海阔天空,0.93
李白,贾宝玉,0.92
匆匆那年,跳跃,0.45
心疼,总结,0.13
夏至,谷雨,0.89
魔女宅急便,虹猫蓝兔,0.85
晴天,匆匆那年,0.87
谷雨,升级,0.61
纸上谈兵,归纳,0.15
收拾,洗漱,0.87
立夏,茶园,0.14
疑惑,欣喜,0.84
那英,千与千寻,0.12
金星,星系,0.83
李清照,一鸣惊人,0.5
极光,代数,0.61
鸡犬升天,老鼠过街,0.85
郁闷,惊喜,0.88
做作业,踮脚,0.24
出境,拉怪,0.46
法学,石像鬼,0.45
龙珠,龙珠,0.95
竹竿进城,谭维维,0.13
母亲节,大雪,0.94
纸鸢,国画,0.81
判官,馒头,0.11
触龙说赵,借刀杀人,0.93
听讲,手柄,0.14
音乐,动物,0.84
跳跃,山谷,0.07
弯腰,王菲,0.12
阎罗,祝融,0.8
过图,抽卡,0.84
通勤,苦闷,0.54
古镇,铃芽之旅,0.6
黑执事,龙猫,0.8
