text_a,text_b,score
完璧归赵,完璧归赵,0.92
井底之蛙,登顶,0.09
摄梦人,李清照,0.07
跳跃,感动,0.07
写论文,写论文,0.91
做题,模拟,0.06
立夏,泡汤,0.05
整理,许嵩,0.06
狗咬吕洞宾,气候,0.09
历史,盘瓠,0.08
小满,划点,0.02
越剧,越剧,0.94
排期,铃芽之旅,0.07
咒术回战,日食,0.04
安心,司马光,0.09
孟婆,纸鸢,0.06
工程,腊八,0.02
茶壶里煮饺,茶壶里煮饺,0.95
挥手,最美的期待,0.08
苦闷,白居易,0.07
惬意,星游记,0.03
周报,夜色,0.08
做笔记,竹海,0.05
春分,郁闷,0.09
年画,七夕,0.09
自驾,上线,0.06
失落,守口如瓶,0.08
礁石,日报,0.08
升级,西王母,0.05
茶道,茶道,0.97
不良人,伸展,0.06
预习,入职,0.08
推挡,推挡,0.92
韩信,风之谷,0.08
俯身,俯身,0.93
井底之蛙,秋分,0.09
前进,守株待兔,0.06
刻舟求剑,护理,0.09
租房,雪峰,0.08
组队,组队,0.94
孔子,十年,0.09
晒衣,哆啦A梦,0.05
租车,舞狮,0.06
对接,后来我们,0.08
一人之下,一人之下,0.99
剪纸,剪纸,0.91
失落,贾宝玉,0.03
灵笼,灵笼,0.93
竹竿进城,祝融,0.07
郁闷,郁闷,0.94
哪吒,油菜花,0.05
酸奶,酸奶,0.97
陨石,望梅止渴,0.03
七夕,摄梦人,0.07
香道,香道,0.96
魔女宅急便,魔女宅急便,0.94
峡谷,峡谷,0.99
进击的巨人,追剧,0.09
欣喜,刑天,0.05
画地为牢,行李,0.02
转身,刻舟求剑,0.07
刘德华,刘德华,0.96
练习,石桥,0.03
香道,温馨,0.09
猪八戒照镜,雪峰,0.1
答辩,起风了,0.06
语文,清明,0.06
石像鬼,花灯,0.1
汇报,汇报,0.98
辛弃疾,辛弃疾,0.96
林间,林间,0.95
预习,预习,0.95
前进,张良,0.03
铃芽之旅,铃芽之旅,0.99
立冬,狗咬吕洞宾,0.07
告白,听讲,0.07
火锅,火锅,0.98
策略,讨论,0.07
免税,平凡之路,0.06
郑和,郑和,0.9
掉线,取件,0.07
拍景,登机,0.04
看夜景,云雾,0.07
狐妖小红娘,海王星,0.1
转机,同舟共济,0.04
拓印,单刀赴会,0.08
锦上添花,心猿意马,0.07
纸里包火,画饼充饥,0.02
斗破苍穹,母亲节,0.03
郑板桥,青花瓷,0.05
逻辑,逻辑,0.94
晚霞,植物,0.04
