text_a,text_b,score
逛馆,草原,0.64
祝融,大禹,0.82
豆花,麻花,0.82
跳跃,迈步,0.85
星座,月球,0.8
值机,行李,0.86
樱花,换汇,0.65
瀑布,血月使者,0.19
国画,河伯,0.11
安心,平静,0.78
猫哭耗子,小葱拌豆腐,0.83
郑板桥,郑和,0.83
盘腿,触龙说赵,0.28
关羽,辛弃疾,0.79
黑执事,演员,0.1
潜伏,停下,0.89
禁言长老,骑士,0.77
战绩,技能,0.86
拍照,看海,0.9
交付,交付,0.99
写论文,预读,0.82
复盘,值班,0.78
羡慕,迷茫,0.81
依恋,羞涩,0.84
小满,处暑,0.87
林俊杰,青花瓷,0.67
相柳,麒麟,0.85
庙会,剪纸,0.89
青花瓷,张学友,0.61
雪峰,纪念品,0.62
牛排,馄饨,0.8
草船借箭,体面,0.22
画地为牢,百发百中,0.84
守墓人,狼骑士,0.81
黄鼠狼拜年,杯水车薪,0.82
言叶之庭,风之谷,0.77
走位,战绩,0.77
羞涩,担忧,0.75
技能,副本,0.85
寒露,擀面杖吹火,0.22
洗衣,做饭,0.79
退避三舍,卧冰求鲤,0.84
郑和,稻香,0.14
父亲节,面条,0.52
烤鱼,奶茶,0.81
法学,地理,0.8
社会,化学,0.88
大鱼海棠,铃芽之旅,0.76
应龙,刑天,0.78
借刀杀人,嫦娥,0.57
麻辣烫,刑天,0.25
挥拳,迈步,0.88
激昂,激昂,0.99
曹操,岳飞,0.8
辛弃疾,走位,0.18
关羽,李白,0.76
楹联,庙会,0.86
风之谷,升级,0.45
开心,厌烦,0.61
整理,抄写,0.82
竹篮打水,井水不犯,0.75
落地,招聘,0.76
约法三章,鹤立鸡群,0.52
掉线,读档,0.86
梦魇,禁言长老,0.75
失落,开心,0.76
蚩尤,河伯,0.78
跟踪,白虎,0.28
篆书,超新星,0.11
孤独,烦躁,0.76
连麦,教程,0.87
画地为牢,守株待兔,0.84
吹笛者,祭司,0.81
七夕,处暑,0.82
弯腰,邓紫棋,0.22
后来,毛不易,0.65
复活节,处暑,0.86
白蛇缘起,言叶之庭,0.91
完璧归赵,负荆请罪,0.77
平静,周报,0.15
通勤,冲茶,0.88
通话,装修,0.84
摘记,默写,0.91
辛弃疾,程门立雪,0.67
做饭,熬夜,0.85
天体,管理,0.77
匆匆那年,张杰,0.66
惊恐,热切,0.9
名不副实,许嵩,0.24
午休,逛街,0.89
对症下药,老马识途,0.48
物理,地球,0.22
居安思危,借刀杀人,0.91
李荣浩,温馨,0.29
夸父,精卫,0.87
懊悔,担忧,0.81
蹒跚,摇头,0.85
弓步,俯卧,0.89
圣斗士,风之谷,0.88
排位,匹配,0.84
练习,提问,0.85
免税,觅食,0.82
猪八戒照镜,竹竿进城,0.87
写作,文天祥,0.18
疑惑,厌烦,0.85
纸鸢,篆书,0.77
后来,夜曲,0.81
李时珍,高山流水,0.65
月球,月球,0.98
草甸,披萨,0.15
林俊杰,许嵩,0.88
上网,复活,0.2
首领,单机,0.78
铁杵磨针,小葱拌豆腐,0.79
凿壁借光,指鹿为马,0.81
魔术师,机械狼,0.89
国庆,中秋,0.82
王羲之,屈原,0.85
记忆,复述,0.75
河伯,刮骨疗毒,0.53
疲惫,震惊,0.64
掉线,匹配,0.92
泥菩萨过,持之以恒,0.48
邯郸学步,完璧归赵,0.82
东京喰种,掉落,0.57
蒲松龄,林黛玉,0.85
凿壁借光,凿壁借光,0.98
七夕,秋分,0.89
灯谜,李白,0.48
奔跑,挥手,0.75
陶瓷,舞狮,0.83
平和,期待,0.82
惬意,惬意,0.96
教育,真空,0.16
视角,镇魂街,0.57
熊出没,幽游白书,0.8
雪峰,樱花,0.89
草船借箭,图穷匕见,0.85
会议,汇报,0.75
立春,谷雨,0.82
体面,演员,0.87
园艺,医学,0.8
弹跳,握拳,0.8
一鸣惊人,狗咬吕洞宾,0.52
秋分,饺子,0.65
炸鸡,七夕,0.6
购物,护肤,0.85
黑洞,引力波,0.85
预言家,猎人,0.88
审核,水中捞月,0.15
柳宗元,居安思危,0.64
先知,狼骑士,0.76
炸鸡,木星,0.3
欣慰,失落,0.91
晒衣,护肤,0.75
迈步,落座,0.85
后来,林俊杰,0.58
跟进,排期,0.88
看海,看海,0.98
看夜景,订票,0.9
雨水,秋分,0.9
负薪读书,围魏救赵,0.87
集章,转机,0.8
攻略,溪流,0.59
孟子,写论文,0.14
酆都,祝融,0.82
老虎头上,亡羊补牢,0.6
伤心,真挚,0.61
语文,淡定,0.14
卧薪尝胆,借刀杀人,0.82
昆曲,刺绣,0.81
持之以恒,拉怪,0.27
演示,上课,0.77
摘记,夜曲,0.19
归纳,稻香,0.22
三明治,火锅,0.84
抄写,做作业,0.87
蒲松龄,杜甫,0.86
老子,香道,0.61
青铜,听课,0.16
晚霞,晚霞,0.96
跟进,范仲淹,0.3
淡定,羞愧,0.87
元旦,复活节,0.9
做梦,读书,0.82
暴击,祖冲之,0.09
巫师,开心,0.22
星系,暗物质,0.76
物理,悲伤,0.27
画龙点睛,画龙点睛,0.99
平和,开心,0.87
瓜田李下,瓜田李下,0.97
搬家,冲茶,0.87
答辩,划点,0.87
踮脚,落座,0.79
动物,植物,0.81
李白,杜甫,0.77
画地为牢,亡羊补牢,0.86
夔牛,应龙,0.75
陶瓷,彩陶,0.8
外卖,魔术师,0.15
对接,周报,0.89
冲茶,熬夜,0.82
日食,掉落,0.28
依恋,三明治,0.09
烤鱼,祭司,0.27
盘瓠,西王母,0.92
盲人摸象,图穷匕见,0.61
答辩,预读,0.88
网购,熬夜,0.86
感恩,羞涩,0.8
退避三舍,司马光,0.59
居安思危,预言家,0.28
青花瓷,红豆,0.86
炸鸡,汉堡,0.77
落座,伸手,0.77
蚩尤,夸父,0.9
烧饼,烤鱼,0.85
烤鸭,芒种,0.51
小溪,梯田,0.88
惊蛰,豆浆,0.62
查阅,听讲,0.88
翻译,熬夜,0.27
小笼包,月饼,0.91
灯谜,编钟,0.78
跟踪,应龙,0.12
匆匆那年,平凡之路,0.88
闻鸡起舞,纸上谈兵,0.91
丹霞,油菜花,0.77
韩信,司马迁,0.92
写作,听讲,0.91
拍照,集章,0.77
后来,起风了,0.75
挟天子,后羿,0.54
释然,心酸,0.73
预习,记忆,0.77
大暑,豆浆,0.57
古城,晚霞,0.83
月球,引力波,0.86
星云,天体,0.91
拉怪,打野,0.78
图穷匕见,盲人摸象,0.61
郑和,岳飞,0.8
彩陶,杜甫,0.52
小葱拌豆腐,擀面杖吹火,0.8
判官,朱雀,0.87
震惊,疲惫,0.64
郑和,岳飞,0.91
馄饨,巫师,0.13
民宿,向导,0.84
张信哲,周杰伦,0.79
夜色,冰川,0.76
庄子,勇气,0.21
地球,太阳系,0.85
海阔天空,协同,0.26
叶公好龙,以卵击石,0.81
老虎头上,竹篮打水,0.77
中秋,腊八,0.81
引力,教程,0.26
熊,海湾,0.19
木星,彗星,0.77
暗物质,外星人,0.75
腊八,圣诞,0.79
命运之夜,铃芽之旅,0.86
热切,安心,0.75
豆腐,烧烤,0.79
香道,花鼓,0.81
云雾,日出,0.77
皮影,灯谜,0.92
谭维维,杨千嬅,0.86
朱雀,朱雀,0.96
安检,托运,0.88
退避三舍,居安思危,0.91
大公无私,鹤立鸡群,0.84
禁言长老,摄梦人,0.85
按部就班,杯弓蛇影,0.85
望梅止渴,铃芽之旅,0.1
开心,挥手,0.19
三顾茅庐,凿壁借光,0.84
奔跑,山脊,0.16
小暑,烤鸭,0.61
小幸运,体面,0.88
黑洞,地球,0.8
纪念品,订票,0.83
后来,溪流,0.28
狗尾续貂,秃子头上,0.91
看展,露台,0.81
孔子,奶茶,0.21
漫步,向导,0.87
按部就班,负薪读书,0.51
请假,翻滚,0.11
升级,风之谷,0.45
负荆请罪,触龙说赵,0.83
早起,修灯,0.87
墙头草,行星,0.24
网球王子,银魂,0.77
沙拉,煎饼,0.89
大雪,夏至,0.76
炸鸡,孤寂,0.2
鲲鹏,白泽,0.91
杨千嬅,陈奕迅,0.79
刮骨疗毒,河伯,0.53
鞠躬,滑行,0.9
天王星,金星,0.89
请假,对接,0.86
小幸运,小幸运,0.99
果汁,小笼包,0.9
塔防,单机,0.83
通灵师,羞涩,0.29
冲茶,午休,0.91
沙盒,卡关,0.8
糖葫芦,秦时明月,0.14
重阳,雨水,0.85
逛街,刷牙,0.85
计算,经济,0.79
小雪,寒露,0.8
升级,秦时明月,0.53
委屈,嫉妒,0.89
火锅,中秋,0.5
管理,地理,0.86
通风,午休,0.87
触龙说赵,同舟共济,0.52
张衡,王羲之,0.79
药学,天体,0.82
刷本,塔防,0.9
画地为牢,失落,0.28
测验,做题,0.85
土星,行星,0.8
望梅止渴,首领,0.14
排位,排位,0.98
免税,邮轮,0.87
祭司,自驾,0.26
杯弓蛇影,八面玲珑,0.78
画蛇添足,盲人摸象,0.86
控蓝,过图,0.86
粥品,酸奶,0.8
井水不犯,墙头草,0.8
毛不易,毛不易,0.96
大雪,雨水,0.89
地理,材料,0.82
亡羊补牢,滥竽充数,0.77
丹霞,沙漠,0.77
投笔从戎,悬梁刺股,0.81
酸奶,盗贼,0.22
霜降,立秋,0.85
技能,排位,0.88
立秋,冬至,0.84
农学,测绘,0.77
理解,整理,0.83
刑天,貔貅,0.78
翻滚,海阔天空,0.1
对齐,离职,0.76
周报,加班,0.78
测绘,海洋,0.89
逻辑,逻辑,0.98
范仲淹,花木兰,0.86
盘古,朱雀,0.88
负荆请罪,对牛弹琴,0.64
许嵩,后来我们,0.6
悬梁刺股,一字千金,0.78
沙拉,火锅,0.85
负荆请罪,心猿意马,0.55
秦始皇,贾宝玉,0.8
文学,化学,0.88
天文,语文,0.83
皮肤,红猪,0.52
披萨,冰淇淋,0.8
红豆,免税,0.21
赶鸭子上架,老虎头上,0.84
引力,流星雨,0.78
外卖,通风,0.92
背水一战,高山流水,0.87
淡定,忐忑,0.85
舞狮,京剧,0.82
屈原,班固,0.79
地球,红移,0.84
峡谷,森林,0.76
孤寂,无奈,0.77
转身,握拳,0.88
答辩,抄写,0.83
烧饼,麻辣烫,0.85
守卫,泡汤,0.28
装修,装修,0.98
翻滚,弓步,0.77
自相矛盾,掩耳盗铃,0.79
望梅止渴,甜品,0.26
排位,加班,0.13
竹竿进城,盲人摸象,0.6
杯弓蛇影,亡羊补牢,0.82
悬崖,夜色,0.84
下线,复盘,0.85
杯水车薪,对症下药,0.84
熊出没,火影,0.81
悬崖,海浪,0.8
真挚,伤心,0.61
湖畔,极光,0.83
漫步,订票,0.79
心疼,欣慰,0.81
全职高手,蜡笔小新,0.83
勇气,演员,0.9
柳宗元,文天祥,0.78
许嵩,张信哲,0.85
魔术师,祭司,0.89
诸葛亮,一字千金,0.56
鹤立鸡群,约法三章,0.52
连麦,魔女宅急便,0.46
复活,依恋,0.14
俯卧,卫星,0.22
惆怅,惊喜,0.81
做家务,网购,0.78
夜曲,体面,0.9
政治,计算,0.82
满足,失望,0.79
温馨,愤怒,0.87
以卵击石,小葱拌豆腐,0.52
狼王,鲛人,0.11
拉怪,战绩,0.76
惆怅,焦虑,0.87
郑和,文天祥,0.86
地质,考古,0.85
预备役,白狼,0.88
陨石,通灵师,0.22
重阳,立春,0.79
请假,日报,0.77
孟子,越剧,0.52
期待,惊喜,0.73
火锅,麻花,0.9
老虎头上,老虎头上,0.98
通话,丢垃圾,0.85
兔子尾巴,擀面杖吹火,0.79
无聊,庙会,0.18
外卖,打扫,0.75
烤鸭,蹒跚,0.27
瞎子摸象,猫哭耗子,0.83
老鼠过街,黄鼠狼拜年,0.82
陆游,祖冲之,0.82
井底之蛙,心猿意马,0.85
思念,烦闷,0.75
妖精尾巴,联机,0.54
梦魇,通灵师,0.8
小笼包,烤鱼,0.9
极光,牧场,0.79
青铜,孟子,0.57
望梅止渴,四面楚歌,0.85
逻辑,工程,0.78
甜品,肉夹馍,0.92
纸上谈兵,负薪读书,0.76
翻滚,重阳,0.24
演员,夜曲,0.87
银魂,复活,0.48
欣慰,羞愧,0.84
升级,解谜,0.78
公会,掉线,0.9
组队,探图,0.81
狼骑士,吹笛者,0.76
关羽,韩信,0.79
评书,木偶,0.82
策略,首领,0.87
铁公鸡,铁公鸡,0.97
动物,气象,0.86
告白,订房,0.11
芒种,立秋,0.9
打野,沙盒,0.91
纸上谈兵,伸手,0.21
摇头,看夜景,0.23
月食,轨道,0.8
控蓝,升级,0.8
锦上添花,画饼充饥,0.82
冬至,工程,0.15
一拳超人,未闻花名,0.91
漫步,海湾,0.59
离职,汇总,0.82
诸葛亮,诸葛亮,0.97
白居易,社火,0.45
感动,盗贼,0.23
按部就班,负荆请罪,0.6
托运,落座,0.2
望远镜,日食,0.83
滑行,停下,0.75
郁闷,重阳,0.09
李白,班固,0.76
手柄,策略,0.85
先知,通灵师,0.84
刻舟求剑,画饼充饥,0.91
黔驴技穷,三令五申,0.82
判官,麒麟,0.82
懊悔,感恩,0.8
理解,做作业,0.82
拉怪,解谜,0.76
杜甫,杜甫,0.98
对齐,处暑,0.23
名侦探柯南,读档,0.48
毛不易,曹操,0.14
樱桃小丸子,进击的巨人,0.75
喜悦,懊悔,0.86
喜悦,兴奋,0.65
租车,秀才遇鬼,0.15
铁杵磨针,秀才遇鬼,0.89
暗能量,引力波,0.8
刘德华,林俊杰,0.83
挥手,狼王,0.23
潜伏,跳跃,0.85
刑天,刑天,0.98
失望,震撼,0.79
行李,赶车,0.81
苏轼,贾宝玉,0.81
稻香,周深,0.59
掉落,东京喰种,0.57
鞠躬,俯卧,0.8
张衡,皮影,0.65
许嵩,王力宏,0.87
无奈,平静,0.79
烧饼,馒头,0.82
酸辣粉,咖喱,0.85
惋惜,抬手,0.17
鲛人,孟婆,0.9
香道,老子,0.61
烧饼,芒种,0.62
教育,跳跃,0.11
委屈,疲惫,0.85
篆书,漆器,0.84
龙舟,京剧,0.77
龙猫,龙猫,0.97
哆啦A梦,刺客伍六七,0.78
幽游白书,犬夜叉,0.92
月饼,月饼,0.97
迈步,关羽,0.3
背包,租车,0.87
掉落,拉怪,0.8
挤压,读书,0.18
轮岗,需求,0.88
国庆,小年,0.89
相柳,四面楚歌,0.64
秀才遇鬼,老鼠过街,0.82
培训,催办,0.9
陨石,小满,0.21
陆游,四面楚歌,0.56
猫哭耗子,兔子尾巴,0.78
疑惑,无奈,0.78
破釜沉舟,三令五申,0.75
周深,最美的期待,0.57
数学,物理,0.81
掩耳盗铃,狗咬吕洞宾,0.59
谭维维,陈奕迅,0.81
命运之夜,风之谷,0.89
魔女宅急便,星游记,0.87
羞涩,思念,0.88
期待,愧疚,0.62
酸奶,炸鸡,0.81
晚霞,山脊,0.89
持之以恒,以卵击石,0.88
茶道,刺绣,0.81
瞎子戴眼镜,刻舟求剑,0.87
咒术回战,银魂,0.76
烦躁,压抑,0.77
月饼,沙拉,0.87
王菲,刘德华,0.91
梦魇,隐狼,0.91
理发,云海,0.14
立秋,炸鸡,0.6
斗破苍穹,秦时明月,0.88
孙悟空,入职,0.25
震撼,紧张,0.81
手柄,立项,0.09
母亲节,百发百中,0.19
悬梁刺股,程门立雪,0.82
沙拉,烧饼,0.82
纸上谈兵,三令五申,0.92
年画,木偶,0.79
纸上谈兵,嫦娥,0.65
楹联,周深,0.13
手柄,新手,0.82
鹤立鸡群,趁热打铁,0.92
劳动节,劳动节,0.98
熊出没,罗小黑战记,0.75
王羲之,杜甫,0.88
腊八,白露,0.9
日报,周报,0.91
里程碑,离职,0.81
花鼓,花灯,0.87
倒挂,俯卧,0.75
愉快,害怕,0.83
起风了,告白,0.77
告白,同舟共济,0.15
租车,觅食,0.78
小雪,小雪,0.98
护肤,收拾,0.91
超新星,暗能量,0.79
高山流水,黔驴技穷,0.81
酸奶,霜降,0.6
烦闷,冷淡,0.76
凿壁借光,程门立雪,0.9
梁静茹,王菲,0.77
命运之夜,咒术回战,0.91
儿童节,儿童节,0.97
红豆,盘古,0.25
唇亡齿寒,杯水车薪,0.51
张学友,林俊杰,0.83
旋转,鞠躬,0.8
毛遂自荐,负荆请罪,0.77
越剧,孟子,0.52
蒲松龄,破釜沉舟,0.67
拍景,守口如瓶,0.14
司马迁,司马迁,0.99
坦诚,真挚,0.78
麒麟,后羿,0.85
守卫,机械狼,0.77
纪念品,拍景,0.79
欣慰,冷漠,0.77
勇气,海阔天空,0.89
淡定,失落,0.76
高山流水,李时珍,0.65
李清照,麒麟,0.17
弹跳,腾挪,0.81
轮岗,调休,0.92
竹篮打水,纸里包火,0.77
冬至,夏至,0.75
石像鬼,预备役,0.86
新手,不良人,0.57
霜降,清明,0.88
最美的期待,樱桃小丸子,0.24
闻鸡起舞,指鹿为马,0.83
走位,战绩,0.86
背水一战,饕餮,0.51
船到桥头,哑巴吃黄连,0.89
推挡,潜伏,0.82
激昂,森林,0.18
雪峰,礁石,0.8
对牛弹琴,负荆请罪,0.64
不良人,排球少年,0.9
麒麟,貔貅,0.77
油菜花,石桥,0.78
刘德华,蔡依林,0.86
高山流水,一字千金,0.83
羞愧,悲伤,0.88
班固,范仲淹,0.79
看展,订房,0.91
稻香,告白气球,0.83
寿司,粽子,0.85
和尚打伞,水中捞月,0.87
杯弓蛇影,心猿意马,0.79
溪流,日出,0.78
破釜沉舟,刮骨疗毒,0.9
攻略,攻略,0.98
鲛人,饕餮,0.88
投标,对接,0.77
隐狼,收拾,0.25
默写,答辩,0.83
落座,旋转,0.9
百发百中,大公无私,0.77
天体,音乐,0.77
告白,程门立雪,0.18
竹海,日出,0.88
狗咬吕洞宾,纸里包火,0.84
伸手,潜伏,0.85
玄女,竹竿进城,0.26
激昂,擀面杖吹火,0.1
温馨,紧张,0.76
猎人,村民,0.79
养宠,装修,0.77
茶道,皮雕,0.87
花田,极光,0.89
购物,理财,0.78
