id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
5509,茶壶里煮饺,烤箱出,歇后语,歇后语,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
4992,八面玲珑,整齐规整,成语,成语,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
1433,灵笼,进击的巨人,动漫,动漫,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
4325,漫步,弓步,旅游,旅游,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
3917,讲解,制作流程,学习,学习,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
4207,徒步,漫步,旅游,旅游,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
1504,麻辣烫,条纹多,美食,美食,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
2411,貔貅,泥菩萨过,神话,神话,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
6877,李荣浩,说唱,歌手,歌手,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
831,汽车,卡车,锚点词,,related_mid,45-70,60,同类相关,
4004,立项,催办,工作,工作,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
5761,灯谜,革面刻纹,文化,文化,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
6720,通灵师,阴阳路,狼人杀,狼人杀,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
5465,狗尾续貂,泥菩萨过,歇后语,歇后语,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
3051,掉线,同步行动,游戏,游戏,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
3248,厌烦,头脑乱,情感,情感,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
5429,和尚打伞,纸里包火,歇后语,歇后语,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
572,游戏王,农学,动漫,,cross_category_low,0-30,7,二者不搭界,
4217,邮轮,路线熟,旅游,旅游,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
6836,白狼,官员,狼人杀,狼人杀,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
899,黑洞,事件视界,宇宙,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
4855,狼狈为奸,好心被怨,成语,成语,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
4415,民宿,短期用驾,旅游,旅游,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
2312,大禹,擀面杖吹火,神话,神话,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
4101,跟踪,立项,工作,工作,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
737,熊出没,牺牲,动漫,,nonsense_low,0-20,2,毫无关联,
3657,做题,瞎子点灯,学习,学习,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
3233,平静,舒缓身心,情感,情感,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
1092,犬夜叉,邪灵,动漫,动漫,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
5881,美术,造型表现,学科,学科,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
1108,灌篮高手,天才,动漫,动漫,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
4603,冰川,冷食,风景,风景,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
